FID_grid_v,NRI,genus.age,mean.age,lamda.dev,lamda.flower,lamda.fruit,Sample,Latitude,Longitude,elevation,BIO1,BIO1k,BIO2,BIO4,bio_5new,bio_6new,Bio5K,Bio6K,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17
0,-0.578440564,28.28,13.64,0.589,0.223,0.095,726,18.96548,109.794994,395,296.45,302.795,8,31.85,309,138,304.05,286.95,299.85,291.75,1724,326,17,76,859,64
1,-0.298735793,28.49,14.16,0.7,0.146,0.058,502,20.245266,110.139487,5,297.25,302.875,6.4,42.34,327,146,305.85,287.75,301.95,291.25,1163,178,22,57,497,87
2,-0.426047242,25.66,13.02,0.664,0.294,0.121,1034,22.395008,100.686379,1175,292.75,302.425,12.4,34.51,294,57,302.55,278.85,296.25,287.65,1484,310,15,84,828,54
3,-0.201048354,26.66,12.76,0.596,0.321,0.088,960,22.840023,102.446154,1029,293.75,302.525,10.8,36.58,292,83,302.35,281.45,297.45,288.35,1431,311,14,87,846,57
4,-0.175154206,26.72,12.2,0.605,0.364,0.114,1166,23.014878,104.161805,1626,288.95,302.045,7.5,43.79,245,51,297.65,278.25,293.75,282.65,1525,341,13,87,870,55
5,0.027751409,27.44,12.59,0.616,0.297,0.132,859,22.714752,106.799998,333,295.05,302.655,8.6,52.3,322,94,305.35,282.55,300.85,287.65,1401,259,21,77,750,83
6,-0.116291451,28.26,12.62,0.659,0.24,0.137,563,22.42497,108.335321,128,295.25,302.675,7.3,54.16,320,99,305.15,283.05,301.25,287.75,1613,295,33,72,841,113
7,-0.346158437,27.42,12.24,0.642,0.346,0.115,521,22.287842,110.263527,103,295.25,302.675,7.6,52.2,321,98,305.25,282.95,300.95,287.85,1518,255,27,65,697,103
8,-0.284191926,27.21,12.99,0.654,0.193,0.112,430,22.369103,112.119543,417,293.75,302.525,7.2,49.26,300,88,303.15,281.95,299.25,286.85,1789,317,27,73,888,94
9,-0.094547513,28.68,12.37,0.655,0,0.116,100,22.542729,113.900856,0,295.95,302.745,7.1,50.49,322,111,305.35,284.25,301.65,288.95,1833,313,28,73,926,94
10,-0.279146645,27.16,13.19,0.725,0.329,0.229,913,24.22318,98.785786,1969,287.85,301.935,11.7,40.42,237,4,296.85,273.55,292.15,282.05,1383,289,13,84,778,53
11,-0.060328603,26.44,12.56,0.679,0.421,0.218,925,24.106648,100.550913,1897,289.45,302.095,11.2,38.49,250,25,298.15,275.65,293.65,283.95,1145,236,14,86,656,46
12,0.267069062,27.2,12.64,0.745,0.449,0.27,928,24.169797,102.512148,1843,290.65,302.215,10.7,41.19,269,46,300.05,277.75,295.25,284.85,992,202,13,84,566,44
13,-0.289484526,26.49,11.95,0.598,0.412,0.152,1149,24.199452,104.473251,1110,292.15,302.365,10.1,48.43,287,56,301.85,278.75,297.35,285.15,1017,182,13,77,543,48
14,0.081850724,26.81,11.8,0.696,0.323,0.135,862,24.188923,106.439067,679,293.35,302.485,9,53.99,312,74,304.35,280.55,299.45,285.65,1179,225,13,79,644,51
15,0.136983878,28.18,12.33,0.606,0.303,0.301,439,24.144793,108.401606,154,294.75,302.625,7.8,61.47,331,83,306.25,281.45,301.75,286.15,1576,271,37,66,762,128
16,-0.049987143,27.02,11.34,0.71,0.392,0.216,630,24.064907,110.36149,436,292.25,302.375,8,62.62,309,55,304.05,278.65,299.45,283.65,1557,279,43,63,736,136
17,-0.34785801,27.57,12.08,0.706,0.482,0.252,640,23.949449,112.31733,82,294.45,302.595,8.4,62.13,335,75,306.65,280.65,301.65,285.95,1577,285,37,62,735,123
18,-0.262646179,27.36,11.6,0.725,0.527,0.202,454,23.79819,114.267208,86,294.75,302.625,8.6,57.4,328,80,305.95,281.15,301.25,286.75,1930,355,32,67,927,127
19,-0.47464515,27.72,12.19,0.693,0.664,0.187,251,23.740135,116.119502,98,294.65,302.615,7.6,54.87,319,89,305.05,282.05,300.95,287.15,1566,252,30,60,673,110
20,NA,NA,NA,NA,NA,NA,NA,23.190572,120.618173,354,295.15,302.665,8.1,33.7,296,124,302.75,285.55,298.85,290.35,2958,653,19,97,1801,67
21,-0.150621554,25.7,12.27,0.628,0.555,0.357,916,25.63976,98.848575,1197,291.95,302.345,11.2,44.08,277,43,300.85,277.45,296.55,285.55,1427,249,19,67,713,86
22,0.385075206,25.3,13.51,0.807,0.688,0.687,1253,25.910174,100.461181,1636,290.85,302.235,11.5,43.21,278,41,300.95,277.25,295.65,284.85,944,183,12,81,514,48
23,0.219656473,24.7,13.28,0.746,0.583,0.42,830,25.97433,102.461967,2316,286.35,301.785,11.6,44.73,229,-12,296.05,271.95,291.35,280.05,995,248,7,97,621,28
24,0.494905251,23.13,11.4,0.821,0.632,0.257,455,26.002192,104.464816,1950,286.75,301.825,9.4,51.54,240,1,297.15,273.25,292.65,279.45,1153,226,14,83,638,46
25,-0.078199994,27.17,11.39,0.714,0.361,0.147,484,25.993734,106.468102,1124,289.75,302.125,8.3,62.52,288,31,301.95,276.25,297.15,280.95,1267,239,18,73,650,64
26,-0.194107574,26.98,10.52,0.693,0.467,0.207,697,25.948964,108.470192,410,291.55,302.305,8.6,68.38,318,41,304.95,277.25,299.65,282.05,1225,212,28,61,570,102
27,-0.483611105,27.68,11.17,0.723,0.509,0.292,763,25.867923,110.469463,571,289.75,302.125,7.9,73.85,309,21,304.05,275.25,298.65,279.75,1579,281,49,54,709,181
28,-0.44185814,27.91,11.45,0.794,0.446,0.272,533,25.750726,112.464287,241,291.45,302.295,7.9,78.16,338,33,306.95,276.45,301.05,280.95,1434,223,52,48,625,181
29,-0.396371807,25.68,10.99,0.72,0.52,0.209,372,25.597415,114.453224,330,291.85,302.335,8.3,72.76,329,38,306.05,276.95,300.65,282.05,1583,257,44,57,718,136
30,-0.344937961,26.1,11.14,0.757,0.547,0.181,363,25.408054,116.434368,519,291.85,302.335,9.2,61.56,315,44,304.65,277.55,299.15,283.35,1736,298,40,60,811,144
31,-0.087726956,29.09,11.6,0.7,0,0,159,25.323755,118.265763,126,293.85,302.535,7.3,59.7,327,85,305.85,281.65,301.05,285.95,1354,229,30,56,580,111
32,-0.01048297,NA,NA,0.663,0.557,0,47,24.608961,120.756485,20,295.05,302.655,6.6,47.82,316,119,304.75,285.05,300.75,288.75,1649,280,19,61,696,87
33,NA,NA,NA,NA,NA,NA,NA,24.560436,121.54535,1159,289.45,302.095,6.6,37.42,244,73,297.55,280.45,293.85,284.45,2959,420,128,43,1182,409
34,0.567187986,25.05,14.93,0.824,0.805,0.427,291,27.486516,92.541484,1691,289.55,302.105,11.2,47.42,260,13,299.15,274.45,295.05,282.85,1744,367,6,91,1012,31
35,0.505510675,25.05,14.93,0.824,0.805,0.428,291,27.730255,94.007609,983,292.65,302.415,10.2,44.72,289,58,302.05,278.95,297.65,286.25,2589,498,13,86,1427,60
36,0.562636375,25.62,13.86,0.804,0.668,0.552,1708,27.803489,98.750911,3622,278.85,301.035,10.3,49.77,145,-93,287.65,263.85,284.85,272.25,854,188,9,81,476,37
37,1.250668773,24.15,13.32,0.796,0.784,0.659,975,27.704331,100.36784,2460,286.15,301.765,12.4,47.92,229,-25,296.05,270.65,291.65,279.55,883,209,3,97,546,16
38,0.580105904,23.92,12.32,0.78,0.736,0.66,1295,27.769491,102.40972,2703,283.55,301.505,11.4,48.74,207,-45,293.85,268.65,289.35,276.75,1083,244,6,94,642,21
39,0.430207944,25.11,10.66,0.786,0.611,0.556,866,27.797789,104.453795,1266,287.35,301.885,8.6,62.95,272,5,300.35,273.65,294.85,278.45,908,167,13,75,476,43
40,0.213212527,25.25,10.76,0.715,0.523,0.22,371,27.789199,106.498332,1311,287.35,301.885,7.5,69.66,283,10,301.45,274.15,295.95,277.95,1116,181,20,64,512,66
41,0.166261711,26.12,10.85,0.646,0.494,0.336,458,27.743728,108.541599,988,287.55,301.905,7.7,75.09,292,2,302.35,273.35,296.85,277.45,1236,197,28,56,523,86
42,-0.369289588,27.83,11.01,0.664,0.537,0.037,230,27.661421,110.58187,758,287.55,301.905,7.6,78.01,291,-6,302.25,272.55,297.25,277.15,1465,235,43,49,638,166
43,-0.260995647,29.61,11.81,0.487,0.181,0.289,94,27.542361,112.617433,143,290.75,302.225,7.5,85.6,333,16,306.45,274.75,301.25,279.25,1632,202,47,41,604,192
44,-0.307876636,26.51,10.97,0.733,0.599,0.15,236,27.386663,114.646599,77,291.55,302.305,8.3,81.5,345,27,307.65,275.85,301.55,280.65,1497,234,51,51,665,181
45,0.052222521,26.58,11.12,0.75,0.56,0.505,251,27.194478,116.667714,218,291.55,302.305,8.6,77.14,334,24,306.55,275.55,300.85,281.05,1726,302,47,62,851,173
46,-0.325656659,25.91,10.89,0.797,0.538,0.354,338,26.966137,118.679013,1132,287.65,301.915,7.5,62.67,272,15,300.35,274.65,295.25,279.25,1964,313,45,53,818,169
47,-0.160869111,24.83,11.68,0.739,0.629,0.188,195,27.106781,120.034954,444,289.95,302.145,7.2,66.78,298,36,302.95,276.75,298.25,281.25,1688,258,43,51,632,156
48,0.241885497,27.49,15.83,0.698,0.843,0.714,330,28.504469,86.066018,5080,271.05,300.255,14.1,58.1,114,-189,284.55,254.25,278.35,263.55,304,95,1,118,217,13
49,0.232675883,26.75,14.47,0.831,0.762,0.779,217,28.53636,87.90849,4475,274.75,300.625,15.4,65.6,167,-173,289.85,255.85,282.95,266.25,330,114,1,131,250,4
50,0.400871923,23,12.31,0.886,0.836,0.605,121,28.751023,89.932149,4727,274.05,300.555,14.6,64.99,153,-179,288.45,255.25,282.15,265.65,245,79,0,133,188,0
51,0.758544387,24.85,16.59,0.975,0.643,0.259,216,28.865087,92.000619,5086,272.25,300.375,14.9,63.65,126,-203,285.75,252.85,280.15,263.95,251,74,0,123,183,2
52,0.634821629,25.55,14.83,0.924,0.641,0.448,542,29.067648,94.048682,4396,275.65,300.715,13.7,58.14,134,-169,286.55,256.25,282.75,267.95,440,101,1,97,269,7
53,0.541660263,25.87,12.97,0.716,0.741,0.367,395,29.245752,96.115491,3736,278.85,301.035,12.5,54.5,173,-104,290.45,262.75,285.45,271.55,746,159,4,89,434,17
54,0.472792855,23.96,16.88,0.775,0.588,0.132,163,29.390103,98.192278,4685,273.05,300.455,12.5,56.51,120,-162,285.15,256.95,279.95,265.65,572,130,3,91,341,14
55,0.852892161,24.84,15.39,0.719,0.767,0.652,799,29.490372,100.270582,4634,272.75,300.425,13.7,59.07,122,-181,285.35,255.05,279.85,264.95,736,189,3,106,487,11
56,0.630977593,24.23,12.38,0.81,0.684,0.651,1796,29.556627,102.355278,2631,281.55,301.305,9.3,56.81,211,-46,294.25,268.55,288.45,273.75,1048,191,7,81,556,28
57,-0.16736078,26.82,9.6,0.767,0.509,0,217,29.585402,104.442309,702,288.95,302.045,6.9,66.73,293,32,302.45,276.35,297.25,279.95,1147,252,14,84,642,49
58,0.271048024,26.83,10.35,0.7,0.246,0.119,200,29.576667,106.529834,274,291.95,302.345,6.7,73,338,57,306.95,278.85,301.25,282.25,1086,175,19,61,472,63
59,-0.097330307,24.02,9.45,0.721,0.559,0.469,568,29.53043,108.616006,820,287.85,301.935,7.7,73.51,300,12,303.15,274.35,296.95,277.95,1416,205,25,57,600,84
