FID_grid_v,lamda.dev,lamda.flower,lamda.fruit,Sample,Latitude,Longitude,elevation
125,0.93,0.63,0.835,45,34.147321,79.897767,6243
144,0.678,0.657,0.757,42,35.823053,77.45635,5804
130,1,0.377,0.096,68,35.89178,90.812234,5494
87,0.59,0.475,0.636,57,31.486862,85.075948,5460
67,0.934,0.878,0.791,286,29.74128,85.49286,5444
126,0.932,0.63,0.835,45,34.572565,82.016924,5278
110,1,0,0,28,33.872723,88.94859,5256
127,NA,NA,,NA,34.960028,84.187093,5248
68,0.217,0.668,0.657,20,30.071214,87.552255,5194
105,0.868,0.764,0.875,76,31.89781,79.033167,5184
108,0.5,0.045,0.345,21,33.226018,84.641081,5129
109,NA,NA,NA,NA,33.568335,86.786168,5089
51,0.975,0.643,0.259,216,28.865087,92.000619,5086
69,0.866,0.61,0.441,90,30.364417,89.626931,5082
48,0.698,0.843,0.714,330,28.504469,86.066018,5080
86,1.25,0,0,7,31.114723,82.993009,5037
71,0.89,0.709,0.19,167,30.839405,93.815418,5022
129,1,0,0,28,35.620088,88.586673,4978
91,0.928,0.508,0.428,139,32.605127,93.572046,4971
90,0,0.617,0.639,35,32.382193,91.427198,4936
128,NA,NA,,NA,35.30936,86.377633,4924
111,1,0.192,0,22,34.138792,91.126483,4923
70,0.776,0.603,0.263,146,30.620575,91.715229,4896
106,0.79,0,0.682,26,32.425148,80.422353,4887
145,1.23,0,0,11,35.860436,79.304092,4837
149,1,0.731,0.441,33,37.364814,88.208219,4830
148,0.47,0.73,0.91,20,37.047185,85.950582,4801
131,1,0.192,0,22,36.124048,93.052243,4736
50,0.886,0.836,0.605,121,28.751023,89.932149,4727
107,1,0,0,21,32.846196,82.515099,4703
54,0.775,0.588,0.132,163,29.390103,98.192278,4685
92,0.83,0.644,0.261,283,32.789816,95.727662,4677
74,0.966,0.821,0.456,432,31.269658,100.169155,4635
55,0.719,0.767,0.652,799,29.490372,100.270582,4634
66,1,0.285,0.33,47,29.746078,83.73054,4603
72,0.69,0.737,0.295,97,31.020661,95.925707,4598
89,1,0,0,28,32.121288,89.295021,4587
88,NA,NA,NA,NA,31.822728,87.177351,4580
93,0.828,0.573,0.318,63,32.93603,97.89208,4578
112,1,0.377,0.096,68,34.366195,93.317898,4571
85,0.606,0.226,0.371,83,30.972062,80.974642,4535
49,0.831,0.762,0.779,217,28.53636,87.90849,4475
52,0.924,0.641,0.448,542,29.067648,94.048682,4396
114,0.921,0.475,0.448,68,34.703824,97.733116,4334
113,0.91,0.373,0.101,57,34.554624,95.520806,4292
94,0.894,0.685,0.302,235,33.043582,100.063287,4247
75,0.81,0.793,0.799,1148,31.337108,102.298499,4126
153,1,0.592,0.346,44,38.233153,97.392902,4096
73,0.786,0.77,0.357,175,31.164134,98.04425,4040
150,1,0,0.441,33,37.642631,90.483523,3980
134,0.957,0.529,0.466,114,36.581179,99.837004,3911
164,0.89,0.704,0.393,185,37.137657,76.557608,3819
115,0.947,0.588,0.482,230,34.813587,99.952678,3797
95,0.956,0.813,0.576,350,33.112334,102.239229,3775
152,1,0.583,0.409,18,38.077149,95.07821,3768
116,0.9,0.686,0.439,339,34.883758,102.1773,3739
53,0.716,0.741,0.367,395,29.245752,96.115491,3736
36,0.804,0.668,0.552,1708,27.803489,98.750911,3622
147,0,0.89,0,15,36.690224,83.712714,3542
205,0.858,0.764,0.304,142,39.993561,75.287619,3370
210,0.545,0.733,0.459,92,42.598828,86.961598,3236
